Age,Salary,Purchased
18,20000,0
19,22000,0
20,24000,0
21,28000,0
22,50000,1
23,35000,0
24,30000,0
25,32000,1
26,35000,0
27,37000,0
28,80000,1
29,40000,0
30,45000,0
31,50000,0
32,45000,0
33,47000,0
34,46000,0
35,56000,1
36,60000,1
37,23000,0
38,53000,1
39,30000,0
40,60000,1
41,63000,1
42,45000,0
43,52000,1
44,51000,1
45,60000,1
46,22000,0
47,55000,1
48,53000,1
50,45000,1
52,65000,1
54,78000,1
55,78000,1
56,45000,1
57,56000,1
58,80000,1
59,90000,1
60,95000,1
